To,Direction,Location,Fitter Location,Weak Pull-Up Resistor
CLK_40M,Input,PIN_62,PIN_62,Off
MODE,Input,PIN_76,PIN_76,On
PAL_SW,Input,PIN_73,PIN_73,On
SRAM_ADDR[15],Output,PIN_51,PIN_51,Off
SRAM_ADDR[14],Output,PIN_50,PIN_50,Off
SRAM_ADDR[13],Output,PIN_49,PIN_49,Off
SRAM_ADDR[12],Output,PIN_48,PIN_48,Off
SRAM_ADDR[11],Output,PIN_47,PIN_47,Off
SRAM_ADDR[10],Output,PIN_26,PIN_26,Off
SRAM_ADDR[9],Output,PIN_27,PIN_27,Off
SRAM_ADDR[8],Output,PIN_28,PIN_28,Off
SRAM_ADDR[7],Output,PIN_29,PIN_29,Off
SRAM_ADDR[6],Output,PIN_52,PIN_52,Off
SRAM_ADDR[5],Output,PIN_53,PIN_53,Off
SRAM_ADDR[4],Output,PIN_54,PIN_54,Off
SRAM_ADDR[3],Output,PIN_55,PIN_55,Off
SRAM_ADDR[2],Output,PIN_71,PIN_71,Off
SRAM_ADDR[1],Output,PIN_74,PIN_74,Off
SRAM_ADDR[0],Output,PIN_75,PIN_75,Off
SRAM_DATA[15],Bidir,PIN_69,PIN_69,Off
SRAM_DATA[14],Bidir,PIN_68,PIN_68,Off
SRAM_DATA[13],Bidir,PIN_67,PIN_67,Off
SRAM_DATA[12],Bidir,PIN_66,PIN_66,Off
SRAM_DATA[11],Bidir,PIN_61,PIN_61,Off
SRAM_DATA[10],Bidir,PIN_58,PIN_58,Off
SRAM_DATA[9],Bidir,PIN_57,PIN_57,Off
SRAM_DATA[8],Bidir,PIN_56,PIN_56,Off
SRAM_DATA[7],Bidir,PIN_36,PIN_36,Off
SRAM_DATA[6],Bidir,PIN_35,PIN_35,Off
SRAM_DATA[5],Bidir,PIN_34,PIN_34,Off
SRAM_DATA[4],Bidir,PIN_33,PIN_33,Off
SRAM_DATA[3],Bidir,PIN_38,PIN_38,Off
SRAM_DATA[2],Bidir,PIN_40,PIN_40,Off
SRAM_DATA[1],Bidir,PIN_41,PIN_41,Off
SRAM_DATA[0],Bidir,PIN_42,PIN_42,Off
VB_CLEAR,Input,PIN_18,PIN_18,Off
VB_CLKA,Input,PIN_19,PIN_19,Off
VB_CLKB,Input,PIN_20,PIN_20,Off
VB_CLKC,Input,PIN_21,PIN_21,Off
VB_CS,Input,PIN_16,PIN_16,Off
VB_PIXELS[15],Input,PIN_88,PIN_88,Off
VB_PIXELS[14],Input,PIN_91,PIN_91,Off
VB_PIXELS[13],Input,PIN_92,PIN_92,Off
VB_PIXELS[12],Input,PIN_96,PIN_96,Off
VB_PIXELS[11],Input,PIN_97,PIN_97,Off
VB_PIXELS[10],Input,PIN_98,PIN_98,Off
VB_PIXELS[9],Input,PIN_99,PIN_99,Off
VB_PIXELS[8],Input,PIN_100,PIN_100,Off
VB_PIXELS[7],Input,PIN_2,PIN_2,Off
VB_PIXELS[6],Input,PIN_3,PIN_3,Off
VB_PIXELS[5],Input,PIN_4,PIN_4,Off
VB_PIXELS[4],Input,PIN_5,PIN_5,Off
VB_PIXELS[3],Input,PIN_6,PIN_6,Off
VB_PIXELS[2],Input,PIN_7,PIN_7,Off
VB_PIXELS[1],Input,PIN_95,PIN_95,Off
VB_PIXELS[0],Input,PIN_14,PIN_14,Off
VB_SHIFT,Input,PIN_17,PIN_17,Off
V_BLUE[1],Output,PIN_85,PIN_85,Off
V_BLUE[0],Output,PIN_86,PIN_86,Off
V_GREEN[1],Output,PIN_83,PIN_83,Off
V_GREEN[0],Output,PIN_84,PIN_84,Off
V_RED[1],Output,PIN_82,PIN_82,Off
V_RED[0],Output,PIN_81,PIN_81,Off
V_VS,Output,PIN_78,PIN_78,Off
nSRAM_OE,Output,PIN_72,PIN_72,Off
nSRAM_WE,Output,PIN_30,PIN_30,Off
